Gender,Nationality,Region,Year,Population
Female,Non Saudi,Al Bahah,2010,16209
Female,Non Saudi,Al Bahah,2011,16521
Female,Non Saudi,Al Bahah,2012,16752
Female,Non Saudi,Al Bahah,2013,17508
Female,Non Saudi,Al Bahah,2014,17682
Female,Non Saudi,Al Bahah,2015,18064
Female,Non Saudi,Al Bahah,2016,18333
Female,Non Saudi,Al Bahah,2017,18323
Female,Non Saudi,Al Bahah,2018,16951
Female,Non Saudi,Al Bahah,2019,16230
Female,Non Saudi,Al Bahah,2020,17817
Female,Non Saudi,Al Bahah,2021,16257
Female,Non Saudi,Al Bahah,2022,16511
Female,Non Saudi,Al Jawf,2010,21919
Female,Non Saudi,Al Jawf,2011,22938
Female,Non Saudi,Al Jawf,2012,23877
Female,Non Saudi,Al Jawf,2013,25616
Female,Non Saudi,Al Jawf,2014,26546
Female,Non Saudi,Al Jawf,2015,27810
Female,Non Saudi,Al Jawf,2016,28944
Female,Non Saudi,Al Jawf,2017,29670
Female,Non Saudi,Al Jawf,2018,28140
Female,Non Saudi,Al Jawf,2019,27622
Female,Non Saudi,Al Jawf,2020,31070
Female,Non Saudi,Al Jawf,2021,29056
Female,Non Saudi,Al Jawf,2022,30230
Female,Non Saudi,Al Madinah Al Munawwarah,2010,183087
Female,Non Saudi,Al Madinah Al Munawwarah,2011,186145
Female,Non Saudi,Al Madinah Al Munawwarah,2012,188259
Female,Non Saudi,Al Madinah Al Munawwarah,2013,196321
Female,Non Saudi,Al Madinah Al Munawwarah,2014,197755
Female,Non Saudi,Al Madinah Al Munawwarah,2015,201428
Female,Non Saudi,Al Madinah Al Munawwarah,2016,203853
Female,Non Saudi,Al Madinah Al Munawwarah,2017,203242
Female,Non Saudi,Al Madinah Al Munawwarah,2018,187483
Female,Non Saudi,Al Madinah Al Munawwarah,2019,179006
Female,Non Saudi,Al Madinah Al Munawwarah,2020,195897
Female,Non Saudi,Al Madinah Al Munawwarah,2021,178266
Female,Non Saudi,Al Madinah Al Munawwarah,2022,180469
Female,Non Saudi,Al Qaseem,2010,71249
Female,Non Saudi,Al Qaseem,2011,73064
Female,Non Saudi,Al Qaseem,2012,74544
Female,Non Saudi,Al Qaseem,2013,78423
Female,Non Saudi,Al Qaseem,2014,79708
Female,Non Saudi,Al Qaseem,2015,81928
Female,Non Saudi,Al Qaseem,2016,83675
Female,Non Saudi,Al Qaseem,2017,84205
Female,Non Saudi,Al Qaseem,2018,78408
Female,Non Saudi,Al Qaseem,2019,75593
Female,Non Saudi,Al Qaseem,2020,83533
Female,Non Saudi,Al Qaseem,2021,76769
Female,Non Saudi,Al Qaseem,2022,78494
Female,Non Saudi,Ar Riyadh,2010,796782
Female,Non Saudi,Ar Riyadh,2011,827255
Female,Non Saudi,Ar Riyadh,2012,854406
Female,Non Saudi,Ar Riyadh,2013,909928
Female,Non Saudi,Ar Riyadh,2014,936085
Female,Non Saudi,Ar Riyadh,2015,973777
Female,Non Saudi,Ar Riyadh,2016,1006495
Female,Non Saudi,Ar Riyadh,2017,1024901
Female,Non Saudi,Ar Riyadh,2018,965668
Female,Non Saudi,Ar Riyadh,2019,941810
Female,Non Saudi,Ar Riyadh,2020,1052826
Female,Non Saudi,Ar Riyadh,2021,978731
Female,Non Saudi,Ar Riyadh,2022,1012243
Female,Non Saudi,Aseer,2010,83691
Female,Non Saudi,Aseer,2011,86040
Female,Non Saudi,Aseer,2012,87999
Female,Non Saudi,Aseer,2013,92810
Female,Non Saudi,Aseer,2014,94571
Female,Non Saudi,Aseer,2015,97456
Female,Non Saudi,Aseer,2016,99789
Female,Non Saudi,Aseer,2017,100683
Female,Non Saudi,Aseer,2018,93991
Female,Non Saudi,Aseer,2019,90837
Female,Non Saudi,Aseer,2020,100638
Female,Non Saudi,Aseer,2021,92727
Female,Non Saudi,Aseer,2022,95054
Female,Non Saudi,Eastern Region,2010,324272
Female,Non Saudi,Eastern Region,2011,336571
Female,Non Saudi,Eastern Region,2012,347508
Female,Non Saudi,Eastern Region,2013,369982
Female,Non Saudi,Eastern Region,2014,380508
Female,Non Saudi,Eastern Region,2015,395711
Female,Non Saudi,Eastern Region,2016,408900
Female,Non Saudi,Eastern Region,2017,416253
Female,Non Saudi,Eastern Region,2018,392095
Female,Non Saudi,Eastern Region,2019,382301
Female,Non Saudi,Eastern Region,2020,427263
Female,Non Saudi,Eastern Region,2021,397085
Female,Non Saudi,Eastern Region,2022,410580
Female,Non Saudi,Hail,2010,29089
Female,Non Saudi,Hail,2011,30448
Female,Non Saudi,Hail,2012,31707
Female,Non Saudi,Hail,2013,34022
Female,Non Saudi,Hail,2014,35266
Female,Non Saudi,Hail,2015,36952
Female,Non Saudi,Hail,2016,38463
Female,Non Saudi,Hail,2017,39437
Female,Non Saudi,Hail,2018,37410
Female,Non Saudi,Hail,2019,36734
Female,Non Saudi,Hail,2020,41320
Female,Non Saudi,Hail,2021,38660
Female,Non Saudi,Hail,2022,40222
Female,Non Saudi,Jazan,2010,92868
Female,Non Saudi,Jazan,2011,95100
Female,Non Saudi,Jazan,2012,96882
Female,Non Saudi,Jazan,2013,101783
Female,Non Saudi,Jazan,2014,103302
Female,Non Saudi,Jazan,2015,106027
Female,Non Saudi,Jazan,2016,108131
Female,Non Saudi,Jazan,2017,108659
Female,Non Saudi,Jazan,2018,101035
Female,Non Saudi,Jazan,2019,97252
Female,Non Saudi,Jazan,2020,107309
Female,Non Saudi,Jazan,2021,98468
Female,Non Saudi,Jazan,2022,100532
Female,Non Saudi,Makkah Al Mukarramah,2010,1076909
Female,Non Saudi,Makkah Al Mukarramah,2011,1094964
Female,Non Saudi,Makkah Al Mukarramah,2012,1107492
